,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
1631,"Capital: A Critique of Political Economy, Volume 1",18.60,1152,Paperback,English,"May 05, 1992",Penguin Group,Karl Marx,5.0 X 8.1 X 2.1 inches | 1.7 pounds,"Political Ideologies - Communism, Post-Communism & Socialism   Political Ideologies - Radicalism   Economic History   Political Economy   Economics - Theory   Civilization   Political   General   Money & Monetary Policy   "
1632,Adulthood Rites,16.73,336,Paperback,English,"August 24, 2021",Grand Central Publishing,Octavia E. Butler,5.3 X 7.99 X 0.95 inches | 0.58 pounds,Science Fiction - Apocalyptic & Post-Apocalyptic   Science Fiction - Alien Contact   Dystopian   Fantasy - Epic   Science Fiction - Genetic Engineering   Fantasy - Contemporary   Science Fiction - Action & Adventure   African American - General   
1633,Indian-Ish: Recipes and Antics from a Modern American Family,26.04,256,Hardcover,English,"April 23, 2019",Harvest Publications,Priya Krishna,8.2 X 10.0 X 0.9 inches | 2.1 pounds,Regional & Ethnic - Indian & South Asian   Comfort Food   Methods - Quick & Easy   Regional & Ethnic - Southeast Asian   
1634,Dyke (geology),9.95,24,Paperback,English,"March 03, 2020","Black Lawrence Press, Inc.",Sabrina Imbler,5.3 X 8.3 X 0.3 inches | 0.1 pounds,LGBT   Subjects & Themes - Nature   LGBT Studies - Lesbian Studies   Personal Memoirs   Earth Sciences - Geology   
1635,The Last Devil to Die: A Thursday Murder Club Mystery,26.97,368,Hardcover,English,"September 19, 2023",Pamela Dorman Books,Richard Osman,6.0 X 9.0 X 0.88 inches | 1.27 pounds,Mystery & Detective - Amateur Sleuth   
1636,The Mountains Sing,15.80,368,Paperback,English,"March 16, 2021",Algonquin Books,Mai Phan Que Nguyen,5.4 X 8.2 X 0.9 inches | 0.66 pounds,War & Military   Coming of Age   Cultural Heritage   
1637,Killingly,25.99,360,Hardcover,English,"June 06, 2023",Soho Crime,Katharine Beutner,6.0 X 9.1 X 1.2 inches | 1.35 pounds,Historical - General   Mystery & Detective - Historical   Women   LGBT - Lesbian   Gothic   Feminist   World Literature - England - 19th Century   
1638,Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body: A Cookbook,25.58,272,Hardcover,English,"May 16, 2017",Rodale Books,Kathryne Taylor,8.2 X 10.0 X 0.9 inches | 2.45 pounds,Vegetarian   Health & Healing - General   Specific Ingredients - Natural Foods   Vegan   
1639,Leaves of Grass,23.24,592,Leather,English,"October 02, 2018",Canterbury Classics,Walt Whitman,6.33 X 9.26 X 1.34 inches | 2.08 pounds,General   Poetry   Movements - Transcendentalism   American - General   Classics   Subjects & Themes - General   Subjects & Themes - Nature   Subjects & Themes - Places   Inspiration & Personal Growth   General   American - General   Non-Classifiable   General   Anthologies (multiple authors)   Subjects & Themes - Inspirational & Religious   LGBT   Spirituality   Essays   Canadian   Gothic   Literary   
1640,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,42.77,356,Paperback,English,"October 25, 2022",O'Reilly Media,Tanya Reilly,5.9 X 8.9 X 0.9 inches | 1.06 pounds,Leadership   Software Development & Engineering - General   Careers - Interviewing   
1641,H Is for Hawk,14.88,320,Paperback,English,"March 08, 2016",Grove Press,Helen MacDonald,5.6 X 8.1 X 0.9 inches | 0.64 pounds,Essays   Animals - Birds   Personal Memoirs   
1642,Hit Parade of Tears: Stories,18.55,288,Paperback,English,"April 11, 2023",Verso Fiction,Izumi Suzuki,4.9 X 7.8 X 0.9 inches | 0.55 pounds,Science Fiction - Apocalyptic & Post-Apocalyptic   Short Stories (single author)   World Literature - Japan   Feminist   
1643,Real Tigers,15.76,400,Paperback,English,"January 03, 2017",Soho Crime,Mick Herron,5.5 X 8.2 X 1.0 inches | 0.75 pounds,Thrillers - Espionage   Mystery & Detective - Traditional   Mystery & Detective - International Crime & Mystery   
